233.71,3916295
234.82,3627711
235.93,3362274
237.04,3117987
238.15,2893035
239.26,2685770
240.37,2494694
241.48,2318444
242.59,2155781
243.71,2004274
244.82,1865595
245.93,1737397
247.04,1618827
248.15,1509102
249.26,1407512
250.37,1313405
251.48,1226184
252.59,1145306
253.71,1069620
254.82,1000019
255.93,935383
257.04,875329
258.15,819505
259.26,767589
260.37,719284
261.48,674319
262.59,632442
263.71,593086
264.82,556739
265.93,522842
267.04,491217
268.15,461699
269.26,434134
270.37,408383
271.48,384316
272.59,361813
273.71,340581
274.82,320895
275.93,302466
277.04,285206
278.15,269035
279.26,253877
280.37,239664
281.48,226331
282.59,213819
283.71,201971
284.82,190946
285.93,180588
287.04,170853
288.15,161700
289.26,153092
290.37,144992
291.48,137367
292.59,130189
293.71,123368
294.82,117000
295.93,110998
297.04,105338
298.15,100000
299.26,94963
300.37,90208
301.48,85719
302.59,81479
303.71,77438
304.82,73654
305.93,70076
307.04,66692
308.15,63491
309.26,60461
310.37,57594
311.48,54878
312.59,52306
313.71,49847
314.82,47538
315.93,45349
317.04,43273
318.15,41303
319.26,39434
320.37,37660
321.48,35976
322.59,34376
323.71,32843
324.82,31399
325.93,30027
327.04,28722
328.15,27481
329.26,26300
330.37,25177
331.48,24107
332.59,23089
333.71,22111
334.82,21188
335.93,20308
337.04,19469
338.15,18670
339.26,17907
340.37,17180
341.48,16486
342.59,15824
343.71,15187
344.82,14584
345.93,14008
347.04,13458
348.15,12932
349.26,12430
350.37,11949
351.48,11490
352.59,11051
353.71,10627
354.82,10225
355.93,9841
357.04,9473
358.15,9121
359.26,8783
